 lat lon alt B
436 -30.0 150.0 200.0 -60.6561
437 -30.0 160.0 200.0 -59.0568
438 -30.0 170.0 200.0 -57.1084
439 -30.0 180.0 200.0 -54.995
440 -25.0 -180.0 200.0 -49.1208
441 -25.0 -170.0 200.0 -46.8364
442 -25.0 -160.0 200.0 -44.5562
443 -25.0 -150.0 200.0 -42.2021
444 -25.0 -140.0 200.0 -39.7794
445 -25.0 -130.0 200.0 -37.4126
446 -25.0 -120.0 200.0 -35.1554
447 -25.0 -110.0 200.0 -32.7183
448 -25.0 -100.0 200.0 -29.6512
449 -25.0 -90.0 200.0 -26.1548
450 -25.0 -80.0 200.0 -23.7423
451 -25.0 -70.0 200.0 -24.5664
452 -25.0 -60.0 200.0 -29.4461
453 -25.0 -50.0 200.0 -36.9346
454 -25.0 -40.0 200.0 -44.8077
455 -25.0 -30.0 200.0 -51.7054
456 -25.0 -20.0 200.0 -57.3098
457 -25.0 -10.0 200.0 -61.5644
458 -25.0 0.0 200.0 -64.063
459 -25.0 10.0 200.0 -64.3695
460 -25.0 20.0 200.0 -62.6584
461 -25.0 30.0 200.0 -59.9158
462 -25.0 40.0 200.0 -57.675
463 -25.0 50.0 200.0 -57.0307
464 -25.0 60.0 200.0 -57.8069
465 -25.0 70.0 200.0 -59.099
466 -25.0 80.0 200.0 -60.1753
467 -25.0 90.0 200.0 -60.5592
468 -25.0 100.0 200.0 -59.9929
469 -25.0 110.0 200.0 -58.8442
470 -25.0 120.0 200.0 -57.835
471 -25.0 130.0 200.0 -57.1374
472 -25.0 140.0 200.0 -56.3582
473 -25.0 150.0 200.0 -55.1793
474 -25.0 160.0 200.0 -53.5089
475 -25.0 170.0 200.0 -51.411
476 -25.0 180.0 200.0 -49.1208
477 -20.0 -180.0 200.0 -42.2969
478 -20.0 -170.0 200.0 -39.8127
479 -20.0 -160.0 200.0 -37.4024
480 -20.0 -150.0 200.0 -34.9374
481 -20.0 -140.0 200.0 -32.3695
482 -20.0 -130.0 200.0 -29.8438
483 -20.0 -120.0 200.0 -27.4607
484 -20.0 -110.0 200.0 -24.8949
485 -20.0 -100.0 200.0 -21.6296
486 -20.0 -90.0 200.0 -17.9268
487 -20.0 -80.0 200.0 -15.5386
488 -20.0 -70.0 200.0 -16.8417
489 -20.0 -60.0 200.0 -22.6265
490 -20.0 -50.0 200.0 -31.2329
491 -20.0 -40.0 200.0 -40.1868
492 -20.0 -30.0 200.0 -47.8857
493 -20.0 -20.0 200.0 -53.8923
494 -20.0 -10.0 200.0 -58.228
495 -20.0 0.0 200.0 -60.685
496 -20.0 10.0 200.0 -60.9656
497 -20.0 20.0 200.0 -59.1752
498 -20.0 30.0 200.0 -56.1447
499 -20.0 40.0 200.0 -53.4046
500 -20.0 50.0 200.0 -52.2194
501 -20.0 60.0 200.0 -52.5364
502 -20.0 70.0 200.0 -53.4786
503 -20.0 80.0 200.0 -54.3204
504 -20.0 90.0 200.0 -54.524
505 -20.0 100.0 200.0 -53.7431
506 -20.0 110.0 200.0 -52.4006
507 -20.0 120.0 200.0 -51.3698
508 -20.0 130.0 200.0 -50.8035
509 -20.0 140.0 200.0 -50.1315
510 -20.0 150.0 200.0 -48.9443
511 -20.0 160.0 200.0 -47.1524
512 -20.0 170.0 200.0 -44.8368
513 -20.0 180.0 200.0 -42.2969
514 -15.0 -180.0 200.0 -34.4501
515 -15.0 -170.0 200.0 -31.7218
516 -15.0 -160.0 200.0 -29.1818
517 -15.0 -150.0 200.0 -26.6368
518 -15.0 -140.0 200.0 -23.9624
519 -15.0 -130.0 200.0 -21.3141
520 -15.0 -120.0 200.0 -18.8171
521 -15.0 -110.0 200.0 -16.0977
522 -15.0 -100.0 200.0 -12.6277
523 -15.0 -90.0 200.0 -8.80273
524 -15.0 -80.0 200.0 -6.562
525 -15.0 -70.0 200.0 -8.34198
526 -15.0 -60.0 200.0 -14.8706
527 -15.0 -50.0 200.0 -24.4487
528 -15.0 -40.0 200.0 -34.4409
529 -15.0 -30.0 200.0 -42.9005
530 -15.0 -20.0 200.0 -49.1566
531 -15.0 -10.0 200.0 -53.3017
532 -15.0 0.0 200.0 -55.4309
533 -15.0 10.0 200.0 -55.4972
534 -15.0 20.0 200.0 -53.5614
535 -15.0 30.0 200.0 -50.2876
536 -15.0 40.0 200.0 -47.1939
537 -15.0 50.0 200.0 -45.6489
538 -15.0 60.0 200.0 -45.6616
539 -15.0 70.0 200.0 -46.3832
540 -15.0 80.0 200.0 -47.1151
541 -15.0 90.0 200.0 -47.2644
542 -15.0 100.0 200.0 -46.3851
543 -15.0 110.0 200.0 -44.9436
544 -15.0 120.0 200.0 -43.972
545 -15.0 130.0 200.0 -43.6015
546 -15.0 140.0 200.0 -43.0632
547 -15.0 150.0 200.0 -41.8536
548 -15.0 160.0 200.0 -39.9005
549 -15.0 170.0 200.0 -37.3078
550 -15.0 180.0 200.0 -34.4501
551 -10.0 -180.0 200.0 -25.6011
552 -10.0 -170.0 200.0 -22.6034
553 -10.0 -160.0 200.0 -19.9512
554 -10.0 -150.0 200.0 -17.3736
555 -10.0 -140.0 200.0 -14.6528
556 -10.0 -130.0 200.0 -11.9482
557 -10.0 -120.0 200.0 -9.38963
558 -10.0 -110.0 200.0 -6.55289
559 -10.0 -100.0 200.0 -2.95995
560 -10.0 -90.0 200.0 0.818596
561 -10.0 -80.0 200.0 2.76866
562 -10.0 -70.0 200.0 0.583734
563 -10.0 -60.0 200.0 -6.40134
564 -10.0 -50.0 200.0 -16.6484
565 -10.0 -40.0 200.0 -27.4749
566 -10.0 -30.0 200.0 -36.5416
567 -10.0 -20.0 200.0 -42.8795
568 -10.0 -10.0 200.0 -46.6442
569 -10.0 0.0 200.0 -48.2807
570 -10.0 10.0 200.0 -48.0397
571 -10.0 20.0 200.0 -45.9374
572 -10.0 30.0 200.0 -42.453
573 -10.0 40.0 200.0 -39.0995
574 -10.0 50.0 200.0 -37.3334
575 -10.0 60.0 200.0 -37.1755
576 -10.0 70.0 200.0 -37.7833
577 -10.0 80.0 200.0 -38.4957
578 -10.0 90.0 200.0 -38.6848
579 -10.0 100.0 200.0 -37.8117
580 -10.0 110.0 200.0 -36.371
581 -10.0 120.0 200.0 -35.5437
582 -10.0 130.0 200.0 -35.4376
583 -10.0 140.0 200.0 -35.0748
584 -10.0 150.0 200.0 -33.8532
585 -10.0 160.0 200.0 -31.7262
586 -10.0 170.0 200.0 -28.8224
587 -10.0 180.0 200.0 -25.6011
588 -5.0 -180.0 200.0 -15.9171
589 -5.0 -170.0 200.0 -12.6623
590 -5.0 -160.0 200.0 -9.93845
591 -5.0 -150.0 200.0 -7.39187
592 -5.0 -140.0 200.0 -4.70419
593 -5.0 -130.0 200.0 -2.02914
594 -5.0 -120.0 200.0 0.512473
595 -5.0 -110.0 200.0 3.37366
596 -5.0 -100.0 200.0 6.93197
597 -5.0 -90.0 200.0 10.4577
598 -5.0 -80.0 200.0 12.0019
599 -5.0 -70.0 200.0 9.53655
600 -5.0 -60.0 200.0 2.44518
601 -5.0 -50.0 200.0 -8.0326
602 -5.0 -40.0 200.0 -19.296
603 -5.0 -30.0 200.0 -28.6764
604 -5.0 -20.0 200.0 -34.9176
605 -5.0 -10.0 200.0 -38.206
606 -5.0 0.0 200.0 -39.3005
607 -5.0 10.0 200.0 -38.7405
608 -5.0 20.0 200.0 -36.4978
